City,Population
"Orange, CA, United States",140992
"Orem, UT, United States",94457
"Orizaba, Mexico",120844
"Orlando, FL, United States",270934
"Oshawa, ON, Canada",308875
"Oshkosh, WI, United States",66555
"Ottawa, ON, Canada",812129
"Overland Park, KS, United States",186515
"Oxnard, CA, United States",207254
"Pachuca de Soto, Mexico",256584
"Palatine, IL, United States",69308
"Palm Bay, FL, United States",107888
"Palm Coast, FL, United States",82893
"Palmdale, CA, United States",158351
"Palo Alto, CA, United States",66853
"Paradise, NV, United States",223167
"Parkchester, NY, United States",65876
"Parma, OH, United States",79937
"Parral, Mexico",104836
"Pasadena, CA, United States",142250
"Pasadena, TX, United States",153784
"Pasco, WA, United States",69451
"Passaic, NJ, United States",71085
"Paterson, NJ, United States",147754
"Pawtucket, RI, United States",71591
"Pearland, TX, United States",108821
"Pembroke Pines, FL, United States",166611
"Peoria, AZ, United States",171237
"Peoria, IL, United States",115070
"Perris, CA, United States",74971
"Petaluma, CA, United States",60438
"Peterborough, ON, Canada",75877
"Pharr, TX, United States",76538
"Philadelphia, PA, United States",1567442
"Phoenix, AZ, United States",1563025
"Pickering, ON, Canada",87838
"Pico Rivera, CA, United States",64218
"Piedras Negras, Mexico",150178
"Pine Hills, FL, United States",60076
"Pittsburg, CA, United States",69424
"Pittsburgh, PA, United States",304391
"Plano, TX, United States",283558
"Plantation, FL, United States",92560
"Playa del Carmen, Mexico",149923
"Pleasanton, CA, United States",79510
"Plymouth, MN, United States",75907
"Pomona, CA, United States",153266
"Pompano Beach, FL, United States",107762
"Pontiac, MI, United States",59917
"Port Orange, FL, United States",59866
"Port Saint Lucie, FL, United States",164603
"Portland, ME, United States",66881
"Portland, OR, United States",632309
"Portsmouth Heights, VA, United States",99049
"Portsmouth, VA, United States",96201
"Poza Rica de Hidalgo, Mexico",185242
"Prince George, BC, Canada",65558
"Providence, RI, United States",179207
"Provo, UT, United States",115264
"Puebla, Mexico",1434062
"Pueblo, CO, United States",109412
"Puerto Vallarta, Mexico",203342
"Québec, QC, Canada",528595
"Queens, NY, United States",2272771
"Quincy, MA, United States",93618
"Racine, WI, United States",77742
"Raleigh, NC, United States",451066
"Ramos Arizpe, Mexico",66554
"Rancho Cordova, CA, United States",71017
"Rancho Cucamonga, CA, United States",175236
"Rapid City, SD, United States",73569
"Reading, PA, United States",87879
"Red Deer, AB, Canada",73593
"Redding, CA, United States",91582
"Redlands, CA, United States",71035
"Redmond, WA, United States",60598
"Redondo Beach, CA, United States",68166
"Redwood City, CA, United States",85288
"Regina, SK, Canada",176183
"Reno, NV, United States",241445
"Renton, WA, United States",100242
"Repentigny, QC, Canada",76237
"Reynosa, Mexico",589466
"Rialto, CA, United States",103132
"Richardson, TX, United States",110815
"Richmond Hill, NY, United States",98984
"Richmond Hill, ON, Canada",185541
"Richmond, BC, Canada",182000
"Richmond, CA, United States",109708
"Richmond, VA, United States",220289
"Rio Rancho, NM, United States",87521
"Riverside, CA, United States",322424
"Riverview, FL, United States",71050
"Roanoke, VA, United States",99897
"Rochester Hills, MI, United States",73424
"Rochester, MN, United States",112225
"Rochester, NY, United States",209802
"Rock Hill, SC, United States",71548
"Rockford, IL, United States",148278
"Rocklin, CA, United States",61213
"Rockville, MD, United States",66980
"Rogers, AR, United States",63159
"Rosarito, Mexico",65278
"Roseville, CA, United States",130269
"Roswell, GA, United States",94501
"Round Rock, TX, United States",115997
"Rowlett, TX, United States",60236
"Sacramento, CA, United States",490712
"Saguenay, QC, Canada",143692
"Sahuayo de Morelos, Mexico",64431
"Saint Charles, MO, United States",65794
"Saint Clair Shores, MI, United States",59715
"Saint Cloud, MN, United States",65842
"Saint George, UT, United States",72897
"Saint John, NB, Canada",87857
"Saint Joseph, MO, United States",76780
"Saint Paul, MN, United States",285068
"Saint-Jean-sur-Richelieu, QC, Canada",71613
"Salamanca, Mexico",160169
"Salem, OR, United States",164549
"Salina Cruz, Mexico",76596
"Salinas, CA, United States",157380
"Salt Lake City, UT, United States",192672
"Saltillo, Mexico",709671
"San Andrés Tuxtla, Mexico",61769
"San Angelo, TX, United States",100450
"San Antonio, TX, United States",1469845
"San Bernardino, CA, United States",216108
"San Clemente, CA, United States",65526
"San Cristóbal de las Casas, Mexico",158027
"San Diego, CA, United States",1394928
"San Francisco del Rincón, Mexico",71139
"San Francisco, CA, United States",864816
"San José del Cabo, Mexico",69788
"San Jose, CA, United States",1026908
"San Juan del Río, Mexico",138878
"San Leandro, CA, United States",90712
"San Luis Potosí, Mexico",722772
"San Luis Río Colorado, Mexico",158089
"San Marcos, CA, United States",92931
"San Marcos, TX, United States",60684
"San Martin Texmelucan de Labastida, Mexico",75518
"San Mateo Atenco, Mexico",67890
"San Mateo, CA, United States",103536
"San Miguel de Allende, Mexico",69811
"San Nicolás de los Garza, Mexico",443273
"San Pablo de las Salinas, Mexico",156191
"San Pedro Garza García, Mexico",122627
"San Pedro Garza Garcia, Mexico",122009
"San Ramon, CA, United States",76134
"San Salvador Tizatlalli, Mexico",61367
"San Tan Valley, AZ, United States",81321
"Sandy Springs, GA, United States",105330
"Sandy, UT, United States",87461
"Santa Ana, CA, United States",335400
"Santa Barbara, CA, United States",91842
"Santa Catarina, Mexico",268347
"Santa Clara, CA, United States",126215
"Santa Clarita, CA, United States",182371
"Santa Cruz Xoxocotlán, Mexico",67086
"Santa Cruz, CA, United States",64220
"Santa Fe, NM, United States",84099
"Santa María Chimalhuacán, Mexico",612383
"Santa Maria, CA, United States",105093
"Santa Monica, CA, United States",93220
"Santa Rosa, CA, United States",174972
"Santiago de Querétaro, Mexico",626495
"Sarnia, ON, Canada",72125
"Saskatoon, SK, Canada",198958
"Sault Ste. Marie, ON, Canada",66313
"Savannah, GA, United States",145674
"Scarborough, ON, Canada",600000
"Schaumburg, IL, United States",74693
"Schenectady, NY, United States",65305
"Scottsdale, AZ, United States",236839
"Scranton, PA, United States",77118
"Seattle, WA, United States",684451
"Shawnee, KS, United States",65046
"Sheepshead Bay, NY, United States",122534
"Shelby, MI, United States",74099
"Sherbrooke, QC, Canada",129447
"Shreveport, LA, United States",197204
"Silao, Mexico",74242
"Silver Spring, MD, United States",71452
"Simi Valley, CA, United States",126788
"Sioux City, IA, United States",82821
"Sioux Falls, SD, United States",171544
"Skokie, IL, United States",64821
"Soledad de Graciano Sánchez, Mexico",255015
"Somerville, MA, United States",80318
"South Bend, IN, United States",101516
"South Gate, CA, United States",96401
"South Jordan, UT, United States",66648
"South Ozone Park, NY, United States",75878
"South San Francisco, CA, United States",67271
"South Suffolk, VA, United States",80690
"Southfield, MI, United States",73156
"Sparks, NV, United States",96094
"Spokane Valley, WA, United States",94919
"Spokane, WA, United States",213272
"Spring Hill, FL, United States",98621
"Spring Valley, NV, United States",178395
"Springdale, AR, United States",77859
"Springfield, IL, United States",116565
"Springfield, MA, United States",154341
"Springfield, MO, United States",166810
"Springfield, OH, United States",59680
"Springfield, OR, United States",60870
"St. Catharines, ON, Canada",131989
"St. John's, NL, Canada",99182
"St. Louis, MO, United States",315685
"St. Petersburg, FL, United States",257083
